Unnamed: 0,tweet_id,user,tweet,s,v,p,time,sentiment clause,chinese frame net,sentiment,sentiment cause,frame_name,subject sentiment,subject sentiment cause,subject sentiment clause
0,21828,0YU,一下来了两只稀有的😀,稀有的,来,,2016-04-07T03:06:38,😀,-,positive,来了两只稀有的,Motion,positive,来了两只稀有的,😀
1,5262,0YU,为啥我遇到的猎头都是小人呢.难道这个行当就是靠厚脸皮吃饭的?,0YU,遇到,猎头,2009-11-26T05:10:37,-,-,neutral,-,Meet_with,neutral,-,-
2,16446,0YU,"我的噗浪彻底废了.没法子,速度太爬了.没法玩.",噗浪,废,,2009-11-25T15:14:39,-,-,neutral,-,Being_in_operation-Not_operational,neutral,-,-
3,17026,0YU,"新钱包,300rmb.",0YU,花,300rmb,2012-10-04T08:22:46,-,-,neutral,-,Commerce_buy-Commerce_pay,neutral,-,-
4,17026,0YU,"新钱包,300rmb.",0YU,買,钱包,2012-10-04T08:22:46,-,-,neutral,-,Commerce_buy,neutral,-,-
5,5590,0YU,"tor的getbridges貌似不灵了,难道有网警天天负责封bridges.",0YU,使用,tor,2011-02-13T09:41:00,-,-,neutral,-,Using,neutral,-,-
6,18537,0YU,"晚上想吃兰州拉面,但上海所有的兰州拉面馆都太不卫生了.肿么办裂....",0YU,在,上海,2011-08-09T08:47:32,-,-,neutral,-,Presence,neutral,-,-
7,22832,0YU,"明明""QQ安全检查已关闭""但每次启动QQ,还是照样安全检查.不是故意玩我的吧.",0YU,关闭,QQ安全检查,2010-12-05T04:34:11,-,-,neutral,-,Change_operational_state-Off,neutral,-,-
8,22832,0YU,"明明""QQ安全检查已关闭""但每次启动QQ,还是照样安全检查.不是故意玩我的吧.",0YU,启动,QQ,2010-12-05T04:34:11,-,-,neutral,-,Change_operational_state-On,neutral,-,-
9,15324,0YU,看到LX和冬日娜的组合就反胃....,0YU,看到,LX和冬日娜的组合,2009-12-11T04:13:23,反胃,Biological_urge,negative,LX和冬日娜的组合,Perception_active-Look,negative,LX和冬日娜的组合,反胃
10,11120,0YU,眼睛肿了...,眼睛,肿,,2010-08-02T02:28:53,-,-,neutral,-,Perception_body-Pain,neutral,-,-
11,26439,0YU,"发现一个腾讯开发的QQsoftMgr不错,可以清理windos注册表.难得腾讯也做个把不错的软件.",0YU,发现,"腾讯开发的QQsoftMgr不错,可以  清理  windos注册表",2010-04-17T13:58:14,-,-,neutral,-,Becoming_aware,neutral,-,-
12,23061,0YU,@kcome啥样的维护?我是做HLR的.,0YU,做,HLR,2010-04-20T13:35:56,-,-,neutral,-,Work,neutral,-,-
13,17890,0YU,"@owlskyaptitudeupdate?这个习惯很好啊,我天天坚持.",0YU,aptitudeupdate,,2009-12-08T12:21:29,-,-,neutral,-,Cause_change_of_position_on_a_scale-Upgrade,neutral,-,-
14,7400,0YU,今天一下午就在折腾域名服务器，终于搞了个caching模式的暂时能用。。。。苦。。。,0YU,搞,caching模式,2015-07-26T11:05:24,-,-,neutral,-,Using,neutral,-,-
15,7400,0YU,今天一下午就在折腾域名服务器，终于搞了个caching模式的暂时能用。。。。苦。。。,0YU,折腾,域名服务器,2015-07-26T11:05:24,苦,-,negative,折腾域名服务器,Using,negative,折腾域名服务器,苦
16,11453,0YU,"ios这个sb系统,我删除一个vpn配置,它妈的把我的证书也废了......妈蛋.",0YU,废,我的证书,2015-11-05T07:36:26,-,,neutral,-,Removing,neutral,-,-
17,11453,0YU,"ios这个sb系统,我删除一个vpn配置,它妈的把我的证书也废了......妈蛋.",0YU,用,ios,2015-11-05T07:36:26,-,-,neutral,-,Using,neutral,-,-
18,11453,0YU,"ios这个sb系统,我删除一个vpn配置,它妈的把我的证书也废了......妈蛋.",0YU,删除,vpn配置,2015-11-05T07:36:26,-,-,neutral,-,Removing,neutral,-,-
19,27208,0YU,SLAMDUMK#128以天才之名做保证.,0YU,看,SLAMDUMK#128以天才之名做保证,2011-02-26T06:18:17,-,-,neutral,-,Reading,neutral,-,-
20,11554,0YU,"啊?twitter可以上传图片了,山寨了sina微博....",0YU,上传,图片,2011-08-10T02:01:33,-,-,neutral,-,Sending,neutral,-,-
