Unnamed: 0,user,tweet,s,v,p,time,sentiment clause,chinese frame net,sentiment,sentiment cause,subject sentiment,subject sentiment cause,subject sentiment clause,tweet_id
92,0YU,@leona0909...地擦得贼亮贼亮的..,leona0909,擦,地,11/7/14 6:16,-,-,neutral,-,neutral,,,25362
100,0YU,二爷爷2号就死了。。。。,二爷爷,死,,1/11/15 4:34,-,-,negative,爷爷2号就死了,negative,,,28994
189,0YU,我操他妈尹蔚民全家九族都断子绝孙生孩子没asshole的.老子发的信居然不回......sonofamotherduck!!!!!,尹蔚民,不回,信,11/5/09 3:34,-,-,negative,老子发的信居然不回.,neutral,,,13383
219,0YU,这个没有任何电脑特效的广告NG了超过600次，最终美女成功完成这不可能的任务后她开心到当场暴走！,美女,完成,不可能的任务,5/11/15 9:06,,Emotion_directed,neutral,,positive,美女成功完成这不可能的任务,开心,29056
220,0YU,这个没有任何电脑特效的广告NG了超过600次，最终美女成功完成这不可能的任务后她开心到当场暴走！,美女,暴走,,5/11/15 9:06,-,-,neutral,,positive,,开心,29056
230,0YU,"@watchpig多谢你的白菜了,不过我现在都还没收到呢.延时也太长了吧?",watchpig,给,白菜,11/12/09 10:49,-,-,neutral,-,neutral,,,6713
298,0YU,"尼玛,游泳池的女人个个是他妈怪兽啊.第二次被指甲抓破了.尼玛....",游泳池的女人,抓破,0YU,10/3/12 13:45,-,,negative,被指甲抓破了,neutral,,,24876
380,0YU,"宿舍对面一窝上海男女在吵架,吵得好凶残哦.可惜我一句都听不懂.",上海男女,吵架,,11/5/09 13:53,-,,neutral,,negative,吵得好凶残,,27854
388,0YU,"向一个小姑娘表白被提出4项要求:""对我好有事业心收入较高上海有房.""但我真的没有事业心,收入不高,全国各地都没房啊.肿么办,肿么办......",小姑娘,提出,对我好有事业心收入较高上海有房.,12/1/11 8:26,-,,neutral,,neutral,,,25359
390,0YU,"向一个小姑娘表白被提出4项要求:""对我好有事业心收入较高上海有房.""但我真的没有事业心,收入不高,全国各地都没房啊.肿么办,肿么办......",小姑娘,提出,要求,12/1/11 8:26,-,,negative,被提出4项要求,neutral,,,25359
397,0YU,"身份证掉在KFC也能被KFC妹纸认出来还给我,偶太帅了有没有???想多了.....",KFC妹纸,还,身份证,2/17/14 1:42,-,,positive,还给我,neutral,,,20251
398,0YU,"身份证掉在KFC也能被KFC妹纸认出来还给我,偶太帅了有没有???想多了.....",KFC妹纸,认出,0YU,2/17/14 1:42,-,,neutral,,neutral,,,20251
399,0YU,"身份证掉在KFC也能被KFC妹纸认出来还给我,偶太帅了有没有???想多了.....",KFC妹纸,还,0YU,2/17/14 1:42,-,,neutral,,neutral,,,20251
425,bones7456,"刚,有同事来发大大泡泡糖了~.~",同事,发,泡泡糖,6/1/10 1:53,-,,neutral,,neutral,,,22509
439,bones7456,@tualatrix恭喜肉身翻墙成功.,@tualatrix,翻墙,,10/31/11 12:14,-,,neutral,,positive,翻墙成功,,21606
454,bones7456,@virushuo就知道你会回来的，哈哈,virushuo,回来,,3/20/14 7:52,哈哈,,positive,,neutral,,,11705
483,bones7456,挂了马的中文版putty和winscp的那个主控服务器，居然被我们的安全团队“通过特殊手段”登录进去了，还看到了木马的下载日志，呵呵。。。,安全團隊,登錄,主控服務器,2/1/12 2:20,-,,neutral,,neutral,,,19964
484,bones7456,挂了马的中文版putty和winscp的那个主控服务器，居然被我们的安全团队“通过特殊手段”登录进去了，还看到了木马的下载日志，呵呵。。。,安全團隊,看到,木馬的下載日誌,2/1/12 2:20,-,,neutral,,neutral,,,19964
540,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,睡觉,,2/15/13 7:15,-,,neutral,,neutral,,,33031
541,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,醒,,2/15/13 7:15,-,,neutral,,negative,,惊,33031
542,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,看,开头,2/15/13 7:15,-,,neutral,,negative,被就吓得哇哇哭,,33031
544,bones7456,昨晚带3岁儿子去电影院看《西游降魔篇》，没想到剧情居然会这么血腥，刚看了个开头他就被就吓得哇哇哭了，回来晚上睡觉后做梦还被惊醒。对大人来说这是部好电影，但是光看名字也不知道不适合小孩子呀，因此，强烈呼吁天朝实行#电影分级制度,3岁儿子,做梦,,2/15/13 7:15,-,,neutral,,neutral,,,33031
